"Output","minRadius","maxRadius"
"Yes",0.975,0.928
"No",0.912,0.996
"Yes",0.973,0.963
"Yes",0.973,0.933
"No",0.928,0.929
"No",0.944,0.96
"Yes",0.992,0.945
"Yes",0.982,0.971
"No",0.941,0.944
"Yes",0.984,0.933
"No",0.938,0.938
"No",0.907,0.99
"Yes",0.988,0.966
"No",0.94,0.968
"No",0.926,0.927
"Yes",0.97,0.96
"No",0.922,0.985
"Yes",0.997,0.935
"Yes",0.991,0.96
"No",0.955,0.999
"No",0.928,0.969
"Yes",0.993,0.942
"No",0.912,0.937
"No",0.95,0.978
"No",0.903,0.904
"No",0.922,0.933
"No",0.947,0.905
"Yes",0.996,0.902
"Yes",0.965,0.997
"No",0.921,0.931
"Yes",0.982,0.95
"No",0.949,0.957
"No",0.928,0.904
"No",0.915,0.925
"No",0.919,0.943
"No",0.947,0.921
"No",0.915,0.933
"No",0.94,0.955
"No",0.947,0.911
"Yes",0.989,0.995
"Yes",0.994,0.979
"No",0.951,0.999
"No",0.906,0.959
"No",0.936,0.919
"No",0.903,0.929
"No",0.941,0.918
"No",0.923,0.964
"No",0.906,0.999
"Yes",1,0.943
"No",0.902,0.971
"No",0.909,0.905
"No",0.943,0.985
"Yes",0.974,0.956
"No",0.946,0.937
"Yes",0.981,0.915
"Yes",0.971,0.915
"Yes",0.976,0.91
"Yes",0.997,0.917
"Yes",0.964,0.992
"No",0.959,0.913
"No",0.932,0.939
"No",0.944,0.96
"Yes",0.981,0.948
"No",0.92,0.985
"No",0.912,0.902
"No",0.956,0.994
"No",0.95,0.979
"No",0.933,0.98
"No",0.957,0.971
"Yes",0.973,0.988
"No",0.919,0.996
"Yes",0.997,0.925
"Yes",0.995,0.928
"No",0.935,0.972
"No",0.923,0.931
"No",0.952,0.978
"No",0.96,0.931
"No",0.914,0.905
"Yes",0.993,0.902
"Yes",0.967,0.931
"Yes",0.976,0.991
"Yes",0.991,0.998
"Yes",0.977,0.988
"No",0.921,0.934
"No",0.956,0.978
"Yes",0.971,0.946
"Yes",0.999,0.972
"No",0.912,0.956
"No",0.953,0.908
"No",0.906,0.964
"No",0.95,0.947
"Yes",0.986,0.964
"No",0.956,0.942
"No",0.922,0.956
"Yes",0.966,0.936
"No",0.958,0.955
"Yes",0.973,0.928
"No",0.92,0.918
"No",0.919,0.91
"Yes",0.974,0.955
"No",0.935,0.925
"Yes",0.97,0.995
"No",0.925,0.946
"No",0.942,0.948
"No",0.906,0.931
"Yes",0.973,0.969
"Yes",0.989,0.951
"No",0.901,0.975
"Yes",0.987,0.968
"No",0.936,0.922
"Yes",0.997,0.927
"Yes",0.961,0.936
"No",0.923,0.911
"Yes",0.97,0.92
"Yes",0.98,0.958
"Yes",0.97,0.966
"Yes",0.991,0.964
"No",0.953,0.906
"No",0.918,0.92
"No",0.911,0.963
"No",0.908,0.996
"No",0.943,0.978
"Yes",0.98,0.908
"Yes",0.971,0.978
"Yes",0.993,0.957
"Yes",0.988,0.982
"No",0.906,0.922
"No",0.945,0.903
"Yes",1.001,0.924
"Yes",0.981,0.94
"No",0.901,0.908
"Yes",0.971,0.942
"No",0.923,0.938
"No",0.918,0.937
"Yes",0.992,0.989
"No",0.9,0.932
"Yes",0.97,0.907
"No",0.905,0.941
"Yes",0.987,0.915
"Yes",0.963,0.906
"Yes",0.966,0.988
"No",0.951,0.935
"No",0.906,0.98
"No",0.901,0.953
"Yes",0.963,0.915
"Yes",0.966,0.99
"No",0.917,0.923
"No",0.923,0.948
"No",0.926,0.983
"Yes",0.968,0.999
"No",0.913,0.929
"Yes",0.994,1.001
"Yes",0.979,0.957
"No",0.902,0.974
"No",0.949,0.929
"No",0.941,0.96
"No",0.954,0.929
"Yes",0.965,0.954
"Yes",0.963,0.906
"No",0.956,0.929
"No",0.935,0.962
"No",0.928,0.945
"No",0.926,0.955
"No",0.938,0.967
"No",0.918,0.916
"Yes",0.976,0.91
"Yes",0.989,0.955
"No",0.907,0.917
"No",0.939,0.922
"No",0.954,0.933
"No",0.955,0.961
"Yes",0.987,0.996
"No",0.919,0.922
"Yes",0.982,0.991
"No",0.927,0.931
"No",0.943,0.953
"No",0.909,0.9
"No",0.909,0.909
"Yes",0.961,0.991
"Yes",0.965,0.987
"Yes",0.985,0.982
"Yes",0.989,0.944
"No",0.91,0.913
"Yes",0.974,0.934
"No",0.904,0.967
"No",0.953,0.954
"No",0.903,0.957
"No",0.932,0.96
"No",0.908,0.901
"Yes",0.992,0.981
"No",0.913,0.938
"No",0.909,0.925
"No",0.946,0.989
"No",0.939,0.971
"No",0.901,0.958
"No",0.959,0.921
"No",0.918,0.932
"Yes",0.989,0.953
"Yes",0.993,0.938
"Yes",0.976,0.929
"Yes",0.988,0.961
"No",0.903,0.937
"Yes",0.975,0.924
"Yes",0.968,0.925
"Yes",0.964,0.973
"Yes",0.99,0.963
"No",0.91,0.941
"No",0.915,0.906
"No",0.92,0.907
"No",0.919,0.939
"Yes",0.973,0.964
"No",0.936,0.904
"Yes",0.971,0.979
"No",0.921,0.955
"Yes",0.971,0.971
"Yes",0.984,0.912
"No",0.945,0.926
"Yes",0.964,0.921
"No",0.908,0.997
"No",0.931,0.913
"No",0.92,0.941
"Yes",0.982,0.944
"No",0.953,0.989
"No",0.929,0.987
"No",0.913,0.95
"No",0.937,0.924
"No",0.907,0.956
"No",0.902,0.909
"No",0.934,0.969
"No",0.908,0.951
"No",0.903,0.975
"Yes",0.977,0.926
"No",0.956,0.917
"No",0.915,0.95
"No",0.949,0.973
"No",0.913,0.905
"No",0.958,0.974
"No",0.95,0.995
"No",0.95,0.969
"No",0.953,0.933
"Yes",0.992,0.915
"No",0.958,0.945
"Yes",0.98,0.965
"Yes",0.999,0.99
"No",0.93,0.931
"No",0.9,0.904
"No",0.921,0.922
"No",0.946,0.934
"No",0.959,0.913
"No",0.902,0.96
"Yes",0.991,0.965
"No",0.933,0.916
"No",0.901,0.927
"Yes",0.998,0.947
"Yes",0.976,0.915
"No",0.928,0.97
"No",0.93,0.962
"Yes",0.983,0.972
"Yes",0.967,0.975
"No",0.94,0.991
"No",0.952,0.933
"Yes",0.977,0.97
"No",0.938,0.944
"Yes",0.977,0.926
"No",0.956,0.994
"Yes",0.972,0.988
"Yes",0.978,0.969
"No",0.918,0.926
"No",0.957,0.967
"No",0.931,0.922
"No",0.957,0.984
"Yes",0.996,0.978
"No",0.93,0.961
"No",0.92,0.993
"Yes",0.989,0.921
"No",0.911,0.992
"Yes",0.996,0.971
"Yes",0.977,0.945
"Yes",0.985,0.997
"No",0.956,0.929
"No",0.938,0.961
"Yes",0.99,0.928
"No",0.919,0.992
"Yes",0.989,0.918
"No",0.96,0.996
"No",0.96,0.993
"No",0.919,0.993
"Yes",0.981,0.914
"Yes",0.962,0.957
"Yes",0.986,0.996
"Yes",0.963,0.985
"No",0.928,0.961
"No",0.926,0.994
"No",0.945,0.978
"Yes",0.988,0.99
"Yes",0.965,0.913
"No",0.933,0.906
"No",0.954,0.994
"Yes",0.974,0.936
"Yes",0.998,0.995
"No",0.921,0.986
"Yes",0.962,0.982
"No",0.913,0.987
"Yes",0.992,0.945
"No",0.912,0.979
"No",0.945,0.945
"Yes",0.973,0.92
"Yes",0.982,0.991
"No",0.947,0.997
"Yes",0.98,0.912
"No",0.941,0.918
"No",0.953,0.967
"No",0.946,0.993
"No",0.916,0.998
"No",0.931,0.974
"No",0.926,0.987
"Yes",0.966,0.994
"No",0.926,0.999
"Yes",0.999,0.955
"Yes",1,0.951
"No",0.95,0.912
"No",0.939,0.907
"No",0.916,0.995
"No",0.951,0.921
"No",0.942,0.969
"No",0.936,0.969
"Yes",0.974,0.981
"Yes",0.985,0.999
"Yes",0.975,0.931
"No",0.915,0.974
"Yes",0.962,0.936
"Yes",0.992,0.957
"Yes",0.98,0.938
"No",0.916,0.909
"Yes",0.973,0.959
"Yes",0.98,0.963
"Yes",0.961,0.952
"Yes",0.988,0.997
"No",0.928,0.981
"No",0.96,0.975
"No",0.922,0.969
"Yes",0.978,0.998
"No",0.946,0.948
"Yes",0.992,0.965
"No",0.927,0.947
"Yes",0.994,0.951
"No",0.952,0.922
"No",0.931,0.91
"No",0.923,0.971
"No",0.944,0.912
"Yes",0.99,0.954
"Yes",0.965,0.911
"No",0.952,0.932
"No",0.934,0.955
"No",0.932,0.949
"Yes",0.986,0.962
"Yes",0.964,0.931
"Yes",0.969,0.93
"Yes",0.996,1.001
"No",0.914,0.957
"No",0.953,0.935
"No",0.95,0.947
"No",0.93,0.928
"No",0.947,0.907
"Yes",0.983,0.998
"No",0.921,0.95
"Yes",0.977,0.912
"No",0.948,0.91
"No",0.936,0.998
"Yes",0.987,0.951
"No",0.926,0.966
"No",0.957,0.934
"Yes",0.996,0.949
"No",0.951,0.952
"No",0.911,0.931
"No",0.92,0.925
"No",0.933,0.966
"Yes",0.998,0.999
"No",0.919,0.994
"No",0.91,0.992
"Yes",0.986,0.903
"No",0.925,0.92
"Yes",0.966,0.935
"Yes",0.979,0.954
"Yes",0.981,0.965
"No",0.911,0.975
"No",0.903,0.904
"Yes",0.975,0.947
"No",0.902,0.933
"Yes",0.997,0.938
"No",0.918,0.955
"No",0.929,0.924
"Yes",0.988,0.906
"Yes",0.997,0.911
"No",0.944,0.956
"No",0.92,0.989
"No",0.908,0.915
"Yes",0.98,0.953
"Yes",0.967,0.908
"No",0.906,0.938
"Yes",0.98,0.942
"Yes",1.001,0.971
"No",0.905,0.956
"No",0.941,0.927
"No",0.928,0.944
"No",0.906,0.949
"Yes",0.967,0.962
"Yes",0.993,0.951
"Yes",0.968,0.957
"Yes",0.973,0.961
"No",0.917,0.962
"No",0.918,0.914
"No",0.952,0.945
"No",0.958,0.933
"Yes",0.99,0.995
"Yes",0.988,0.911
"Yes",0.996,0.975
"Yes",0.97,0.987
"No",0.937,0.988
"No",0.956,0.907
"No",0.904,0.936
"Yes",0.967,0.925
"Yes",0.982,0.918
"Yes",0.967,0.957
"No",0.906,0.931
"No",0.921,0.903
"No",0.949,0.965
"Yes",0.986,0.936
"Yes",0.991,0.91
"No",0.94,0.998
"Yes",0.994,0.948
"Yes",0.986,0.977
"Yes",0.99,0.957
"No",0.941,0.974
"Yes",0.976,0.92
"No",0.903,0.967
"Yes",0.987,1.001
"No",0.932,0.961
"Yes",0.988,0.915
"No",0.92,0.979
"Yes",0.979,0.909
"Yes",0.961,0.904
"No",0.956,0.943
"No",0.947,0.946
"Yes",0.994,0.968
"No",0.904,0.956
"No",0.925,0.945
"Yes",0.993,0.911
"No",0.941,0.968
"No",0.927,0.932
"No",0.944,0.955
"No",0.957,0.937
"No",0.923,0.924
"Yes",0.984,0.922
"Yes",0.991,0.982
"Yes",0.964,0.978
"No",0.943,0.904
"Yes",0.963,0.983
"No",0.96,0.922
"No",0.908,0.99
"Yes",0.995,0.955
"No",0.907,0.95
"Yes",0.969,0.928
"Yes",0.971,0.951
"Yes",0.98,0.926
"No",0.924,0.944
"Yes",0.977,0.93
"No",0.9,0.947
"Yes",0.976,0.952
"No",0.922,0.963
"No",0.948,0.996
"Yes",0.972,0.982
"No",0.918,0.968
"No",0.926,0.97
"Yes",0.988,0.902
"No",0.922,0.955
"No",0.911,0.903
"No",0.923,0.909
"Yes",0.963,0.92
"No",0.941,0.922
"No",0.939,0.983
"No",0.913,0.921
"No",0.915,0.944
"No",0.913,0.951
"Yes",0.998,0.916
"No",0.944,0.933
"Yes",0.999,0.934
"No",0.926,0.983
"No",0.909,0.942
"No",0.914,0.915
"Yes",0.995,0.928
"No",0.94,0.994
"Yes",0.986,0.977
"Yes",0.978,0.988
"Yes",0.982,0.935
"No",0.946,0.901
"Yes",0.992,0.99
"Yes",0.978,0.938
"No",0.924,0.981
"No",0.95,0.975
"No",0.911,0.915
"No",0.95,0.946
"No",0.937,0.917
"Yes",0.98,0.91
"No",0.959,0.931
"No",0.91,0.927
"Yes",0.974,0.907
"No",0.954,0.944
"No",0.95,0.92
"Yes",0.977,0.905
"Yes",0.989,0.958
"Yes",0.964,0.963
"No",0.935,0.906
"Yes",0.971,0.978
"Yes",0.979,0.962
"No",0.902,0.912
"No",0.931,0.942
"Yes",0.988,0.992
"No",0.917,0.997
"Yes",0.984,0.934
"Yes",0.961,0.992
"Yes",0.997,0.953
"No",0.947,0.94
"No",0.957,0.935
"Yes",0.965,0.983
"No",0.96,0.962
"No",0.945,0.907
"Yes",0.986,0.933
"No",0.904,0.968
"Yes",0.993,0.956
"No",0.946,0.946
"No",0.91,0.948
"Yes",1,0.958
"No",0.942,0.944
"No",0.937,0.952
"No",0.915,0.909
"Yes",0.965,0.939
"No",0.92,0.957
"No",0.943,0.954
"Yes",0.972,0.984
"No",0.935,0.926
"No",0.907,0.952
"Yes",0.998,0.924
"No",0.941,0.962
"No",0.932,0.935
"No",0.928,0.986
"No",0.908,0.914
"Yes",0.967,0.966
"No",0.91,0.978
"No",0.94,0.909
"Yes",0.994,1.001
"Yes",0.966,0.914
"Yes",0.986,0.914
"Yes",0.994,0.917
"No",0.902,0.958
"Yes",0.987,0.972
"Yes",0.99,0.961
"No",0.949,0.916
"No",0.936,0.992
"No",0.948,0.958
"No",0.951,0.96
"No",0.905,0.989
"Yes",0.99,0.912
"No",0.953,0.986
"No",0.943,0.936
"No",0.934,0.906
"No",0.96,0.924
"Yes",0.974,0.916
"No",0.943,0.91
"Yes",0.972,0.97
"No",0.933,0.927
"Yes",0.988,0.962
"No",0.922,0.921
"Yes",0.966,0.968
"No",0.946,0.922
"Yes",0.983,0.937
"No",0.947,0.924
"No",0.953,0.947
"No",0.943,0.964
"No",0.908,0.947
"Yes",0.974,0.937
"Yes",0.978,0.956
"No",0.932,0.975
"Yes",0.994,0.96
"Yes",0.978,0.98
"No",0.919,0.93
"Yes",0.998,0.909
"No",0.924,0.902
"Yes",0.972,0.964
"Yes",0.994,0.948
"Yes",0.973,0.953
"No",0.93,0.981
"No",0.924,0.947
"Yes",0.969,0.921
"Yes",0.979,0.924
"Yes",0.994,0.998
"Yes",0.992,0.91
"No",0.938,0.913
"Yes",0.996,0.919
"No",0.958,0.988
"No",0.911,0.979
"No",0.951,0.941
"Yes",0.993,0.913
"No",0.943,0.986
"Yes",0.966,0.957
"No",0.944,0.965
"Yes",0.976,0.964
"No",0.957,0.985
"Yes",0.998,0.981
"Yes",0.987,0.922
"Yes",0.996,0.984
"Yes",0.975,0.941
"No",0.932,0.946
"No",0.914,0.902
"No",0.918,0.904
"No",0.947,1
"Yes",0.979,0.949
"No",0.928,0.972
"Yes",0.986,0.955
"Yes",0.99,0.902
"No",0.948,0.969
"Yes",0.975,0.968
"No",0.921,0.958
"No",0.942,0.916
"Yes",0.965,0.908
"No",0.915,0.972
"No",0.937,1
"No",0.955,0.973
"No",0.919,0.96
"No",0.929,0.987
"Yes",0.975,0.96
"Yes",0.971,0.963
"No",0.95,0.924
"Yes",0.976,0.99
"No",0.902,0.936
"Yes",0.978,0.975
"No",0.904,0.986
"Yes",0.985,0.982
"No",0.942,0.951
"Yes",0.995,0.924
"Yes",0.964,0.96
"Yes",0.97,0.972
"Yes",0.997,0.952
"No",0.942,0.903
"Yes",0.997,0.969
"No",0.956,0.996
"No",0.905,0.928
"No",0.902,0.928
"No",0.929,0.961
"No",0.945,0.912
"No",0.92,0.916
"No",0.92,0.973
"No",0.916,0.953
"No",0.956,0.933
"No",0.948,0.927
"No",0.952,0.98
"Yes",0.976,1
"No",0.903,0.916
"Yes",0.983,0.937
"No",0.913,0.999
"No",0.933,0.947
"No",0.954,0.929
"No",0.923,0.946
"Yes",0.971,0.996
"Yes",0.993,0.972
"Yes",0.985,0.984
"Yes",0.965,0.959
"No",0.953,0.905
"Yes",0.992,0.965
"No",0.924,0.948
"No",0.907,0.985
"Yes",0.965,0.958
"No",0.936,0.924
"No",0.96,0.936
"Yes",0.962,0.95
"Yes",0.966,0.93
"No",0.907,0.961
"No",0.958,0.908
"No",0.955,0.924
"No",0.947,0.94
"No",0.901,0.933
"No",0.927,0.994
"No",0.911,0.996
"No",0.911,0.976
"Yes",0.993,0.93
"Yes",0.961,0.93
"No",0.951,0.959
"No",0.913,0.923
"Yes",0.999,0.974
"Yes",0.975,0.974
"No",0.928,0.958
"Yes",0.962,0.941
"No",0.935,0.903
"No",0.908,0.905
"Yes",0.973,0.918
"Yes",0.982,0.997
"No",0.908,0.938
"Yes",0.993,0.957
"Yes",0.966,0.939
"No",0.944,0.912
"Yes",0.967,0.965
"Yes",0.967,0.926
"Yes",0.982,0.999
"No",0.94,0.987
"Yes",0.969,0.942
"No",0.934,0.922
"No",0.946,0.929
"No",0.956,0.988
"No",0.925,0.912
"No",0.922,0.93
"No",0.938,0.987
"Yes",0.961,0.984
"No",0.951,0.965
"No",0.918,0.965
"Yes",0.975,0.954
"Yes",0.998,0.906
"No",0.928,0.983
"Yes",0.975,0.908
"No",0.951,0.928
"No",0.901,0.908
"No",0.939,0.911
"Yes",0.973,0.907
"No",0.915,0.904
"Yes",0.986,0.947
"Yes",0.994,0.956
"No",0.92,0.915
"Yes",0.968,0.93
"No",0.931,0.935
"No",0.92,0.912
"No",0.958,0.935
"No",0.936,0.959
"No",0.932,0.939
"Yes",0.971,0.995
"No",0.934,0.975
"No",0.909,0.989
"Yes",0.968,0.979
"Yes",0.98,0.967
"No",0.92,0.902
"Yes",0.99,0.915
"No",0.958,0.958
"Yes",0.988,0.977
"No",0.905,0.913
"No",0.957,0.958
"No",0.947,0.905
"No",0.947,0.979
"No",0.914,0.926
"No",0.904,0.916
"Yes",0.974,0.902
"No",0.922,0.984
"Yes",0.991,0.962
"Yes",0.996,0.941
"Yes",0.975,0.944
"Yes",0.972,0.919
"Yes",0.993,0.901
"No",0.936,0.999
"No",0.922,0.993
"No",0.916,0.914
"No",0.945,0.991
"No",0.934,0.9
"Yes",0.979,0.902
"Yes",0.995,0.995
"No",0.919,0.961
"No",0.924,0.935
"No",0.941,0.986
"No",0.915,0.943
"No",0.926,0.913
"No",0.902,0.986
"No",0.949,0.972
"No",0.936,0.948
"No",0.922,0.99
"Yes",0.982,0.985
"No",0.943,0.962
"No",0.906,0.976
"Yes",0.987,0.926
"Yes",0.977,0.916
"Yes",0.984,0.929
"Yes",0.966,0.977
"Yes",0.964,0.961
"Yes",0.965,0.994
"Yes",0.969,0.965
"No",0.94,0.968
"No",0.914,0.936
"No",0.914,0.949
"Yes",0.982,0.998
"No",0.906,0.944
"No",0.954,0.923
"Yes",0.984,0.991
"No",0.959,0.969
"Yes",0.979,0.977
"No",0.943,0.968
"No",0.932,0.994
"Yes",0.968,0.928
"No",0.92,0.989
"Yes",0.968,0.971
"No",0.908,0.929
"Yes",0.979,0.912
"No",0.905,0.98
"Yes",0.982,0.92
"No",0.924,0.991
"No",0.902,0.92
"Yes",0.964,0.968
"Yes",0.985,0.922
"No",0.949,0.982
"Yes",0.975,0.974
"No",0.91,0.957
"Yes",0.986,0.921
"No",0.952,0.951
"Yes",0.983,0.968
"Yes",0.995,0.985
"No",0.92,0.986
"Yes",0.981,0.99
"Yes",0.966,0.913
"No",0.947,0.918
"No",0.946,0.934
"Yes",0.986,0.947
"No",0.904,0.996
"No",0.918,0.927
"Yes",0.975,0.92
"No",0.929,0.944
"No",0.95,0.987
"No",0.916,0.902
"No",0.913,0.993
"No",0.95,0.912
"No",0.941,0.983
"No",0.927,0.98
"No",0.904,0.969
"No",0.929,0.953
"No",0.929,0.95
"No",0.907,0.907
"Yes",0.981,0.942
"Yes",0.989,0.927
"No",0.934,0.917
"No",0.957,0.975
"No",0.928,0.988
"Yes",0.992,0.93
"No",0.932,0.996
"Yes",0.979,0.967
"No",0.93,0.986
"Yes",0.991,0.992
"Yes",0.965,0.93
"No",0.923,0.952
"No",0.928,0.94
"Yes",0.995,0.903
"Yes",0.991,0.961
"No",0.904,0.947
"Yes",0.967,0.927
"Yes",0.992,0.954
"No",0.951,0.979
"No",0.96,0.944
"No",0.923,0.961
"No",0.913,0.917
"No",0.926,0.914
"No",0.926,0.996
"No",0.917,0.967
"Yes",0.984,0.943
"No",0.953,0.99
"No",0.96,0.942
"No",0.921,0.94
"No",0.922,0.951
"No",0.923,0.961
"No",0.958,0.906
"Yes",0.994,0.927
"No",0.943,0.961
"No",0.903,0.998
"Yes",0.999,0.961
"Yes",0.981,0.93
"Yes",0.963,0.948
"Yes",0.978,0.959
"No",0.956,0.921
"No",0.903,0.985
"No",0.926,0.987
"No",0.925,0.92
"No",0.932,0.999
"Yes",0.982,0.912
"No",0.92,0.904
"No",0.958,0.969
"No",0.924,0.924
"No",0.932,0.979
"No",0.907,0.958
"No",0.923,0.909
"Yes",0.992,0.948
"No",0.93,0.917
"No",0.94,0.913
"No",0.942,0.91
"Yes",0.984,0.918
"No",0.93,0.996
"No",0.94,0.935
"No",0.93,0.968
"No",0.927,0.958
"No",0.95,0.983
"No",0.909,0.915
"Yes",0.998,0.986
"Yes",0.998,0.975
"No",0.929,0.956
"Yes",0.966,0.938
"No",0.96,0.935
"No",0.917,0.956
"Yes",0.993,0.923
"No",0.908,0.983
"Yes",0.973,0.92
"Yes",0.997,0.952
"No",0.951,0.987
"Yes",0.978,0.929
"No",0.947,0.931
"No",0.934,0.998
"Yes",0.968,0.944
"Yes",0.97,0.91
"No",0.905,0.911
"Yes",0.987,0.985
"No",0.952,0.989
"No",0.93,0.98
"No",0.91,0.972
"Yes",0.966,0.964
"No",0.941,0.972
"Yes",0.988,0.922
"Yes",0.967,0.955
"No",0.923,0.918
"No",0.943,0.953
"No",0.917,0.903
"No",0.902,0.906
"Yes",0.967,0.996
"Yes",0.981,0.924
"No",0.933,0.972
"No",0.957,0.955
"No",0.952,0.922
"Yes",0.979,0.975
"No",0.933,0.994
"No",0.952,0.963
"Yes",0.99,0.906
"No",0.928,0.917
"No",0.92,0.995
"Yes",0.983,0.978
"Yes",1,0.915
"Yes",0.972,0.94
"No",0.91,0.953
"No",0.921,0.947
"Yes",0.963,0.913
"No",0.926,0.992
"Yes",0.999,0.944
"Yes",0.992,0.908
"Yes",0.982,0.905
"Yes",0.989,0.919
"No",0.906,0.974
"No",0.953,0.993
"Yes",1.001,1
"No",0.918,0.994
"Yes",0.978,0.92
"No",0.939,0.933
"No",0.902,0.981
"No",0.904,0.923
"Yes",0.989,0.913
"No",0.923,0.965
"Yes",0.997,0.91
"No",0.917,0.989
"No",0.953,0.962
"Yes",0.984,0.925
"No",0.933,0.913
"Yes",0.978,0.982
"Yes",0.967,0.921
"Yes",0.981,0.918
"No",0.947,0.946
"No",0.942,0.915
"No",0.96,0.986
"Yes",0.97,0.956
"No",0.93,0.988
"No",0.917,0.916
"Yes",0.985,0.997
"No",0.912,0.934
"Yes",0.982,0.974
"No",0.948,0.979
"Yes",0.962,0.906
"Yes",0.993,0.982
"Yes",1.001,0.965
"No",0.938,0.985
"Yes",0.97,0.98
"No",0.954,0.967
"No",0.908,0.941
"No",0.956,0.979
"Yes",0.975,0.92
"Yes",0.989,0.991
"No",0.916,0.906
"Yes",0.966,0.902
"Yes",0.99,0.942
"Yes",0.986,0.951
"No",0.902,0.97
"Yes",0.982,0.964
"No",0.903,0.902
"No",0.914,0.957
"No",0.944,0.924
"Yes",0.97,0.917
"Yes",0.969,0.917
"Yes",0.965,0.963
"No",0.9,0.931
"No",0.912,0.966
"No",0.96,0.91
"Yes",0.963,0.943
"Yes",0.985,0.917
"No",0.926,0.981
"No",0.94,0.959
"No",0.912,0.954
"No",0.938,0.944
"No",0.911,0.97
"Yes",0.997,0.981
"Yes",0.976,0.93
"Yes",0.974,0.938
"No",0.923,0.974
"No",0.942,0.944
"No",0.92,0.96
"No",0.95,0.905
"Yes",0.962,1
"Yes",0.978,0.994
"No",0.931,0.971
"No",0.943,0.909
"No",0.932,0.922
"No",0.923,0.914
"Yes",0.966,0.988
"No",0.948,0.987
"Yes",0.992,0.927
"No",0.917,0.984
"Yes",0.977,0.991
"No",0.943,0.967
"Yes",0.987,0.989
"No",0.912,0.905
"No",0.934,0.985
"Yes",0.995,0.971
"No",0.959,0.941
"No",0.937,0.948
"No",0.926,0.964
"No",0.92,0.964
"Yes",0.962,0.978
"Yes",0.989,0.952
"No",0.928,0.988
"No",0.907,0.934
"Yes",0.974,0.94
"Yes",0.98,0.981
"No",0.92,0.903
"No",0.953,0.995
"Yes",0.986,0.907
"No",0.9,0.989
"No",0.919,0.907
"No",0.915,0.949
"No",0.919,0.993
"No",0.948,0.97
"No",0.909,0.948
"No",0.935,0.964
"Yes",1,0.944
"Yes",0.972,0.927
"No",0.93,0.931
"No",0.918,0.936
"No",0.904,1.001
"No",0.916,0.964
"No",0.903,0.977
"Yes",0.963,0.909
"Yes",0.979,0.905
"Yes",0.981,0.987
"No",0.958,0.965
"Yes",0.995,0.953
"Yes",0.979,0.972
"No",0.905,0.901
"No",0.954,0.978
"No",0.925,0.958
"Yes",0.994,0.995
"No",0.951,0.977
"Yes",0.997,0.943
"No",0.909,0.982
"No",0.929,0.964
"No",0.937,0.929
"No",0.937,0.964
"Yes",0.973,0.999
"Yes",0.994,0.941
"No",0.925,0.943
"No",0.917,0.946
"Yes",0.964,0.965
"No",0.954,0.949
"Yes",0.986,0.929
"No",0.924,0.965
"No",0.951,0.918
"Yes",0.99,0.917
"No",0.957,1
"Yes",0.99,0.964
"No",0.95,0.942
"Yes",0.988,1
"No",0.931,0.996
"Yes",0.991,0.999
"Yes",0.969,0.968
"No",0.95,0.994
"No",0.903,0.972
"No",0.927,0.941
"No",0.921,0.92
"No",0.926,0.991
"Yes",0.997,0.91
"No",0.901,0.962
"No",0.907,0.905
"Yes",0.982,0.953
"Yes",0.985,0.92
"Yes",0.961,0.917
"No",0.934,0.99
"No",0.953,0.997
"Yes",0.971,0.924
"No",0.921,0.926
"No",0.941,0.9
"No",0.949,0.97
"Yes",0.963,0.966
"Yes",0.996,0.995
"Yes",0.962,0.967
"No",0.94,0.983
"No",0.936,0.944
"Yes",0.974,0.901
"Yes",0.961,0.978
"No",0.922,0.901
"No",0.901,1.001
"No",0.933,0.984
"Yes",0.984,0.944
"No",0.912,0.966
"No",0.932,0.998
"No",0.947,0.916
"No",0.958,0.964
"Yes",0.98,0.992
"No",0.906,0.956
"Yes",0.98,0.97
"No",0.93,0.977
"No",0.907,1.001
"No",0.959,0.967
"No",0.905,0.988
"Yes",0.998,0.987
"No",0.939,0.948
"No",0.942,0.985
"Yes",0.969,0.955
"No",0.925,0.981
"No",0.933,0.958
"No",0.919,0.98
"Yes",0.996,0.972
"No",0.929,0.906
"Yes",0.999,0.954
"No",0.93,0.901
"Yes",0.971,1
"No",0.909,0.946
"No",0.927,0.972
"Yes",0.965,0.935
"Yes",0.964,0.9
"No",0.952,0.931
"Yes",0.998,0.937
"No",0.95,0.943
"No",0.938,0.996
"Yes",0.965,0.957
"No",0.927,0.934
"No",0.901,0.978
"No",0.929,0.99
"No",0.905,0.97
"No",0.945,0.959
"No",0.933,0.95
"No",0.906,0.946
"No",0.943,0.926
"Yes",0.972,0.933
"No",0.904,0.904
"Yes",0.999,0.975
"No",0.954,0.968
"Yes",0.974,0.931
"No",0.921,0.954
"No",0.905,0.962
"Yes",0.998,0.97
"No",0.911,0.992
"No",0.927,0.933
"Yes",1,0.941
"Yes",0.972,0.927
"Yes",0.966,0.997
"Yes",0.984,0.905
"No",0.953,0.956
"No",0.95,0.914
"Yes",0.967,0.954
"No",0.9,0.914
"No",0.954,0.941
"Yes",0.966,0.951
"No",0.934,0.998
"Yes",0.969,0.948
"Yes",0.996,0.959
"Yes",0.961,0.938
"No",0.91,0.981
"No",0.943,0.934
"Yes",0.98,0.997
"No",0.921,0.988
"Yes",0.999,0.962
"No",0.96,0.949
"No",0.947,0.904
"Yes",0.967,0.98
